things,places
"BABYFOOD,JUC,APPL&PLUM",DOWNTOWN SPORTS EXCHANGE
"BABYFOOD,JUC,APPL&PRUNE","DREAM TAVERN, CARRIBEAN  U.S.A."
"BABYFOOD,JUICE,ORANGE",DREAMS INN
"BABYFOOD,JUC,ORANGE&APPL",DRIFTERS RAW BAR & GRILL
"BABYFOOD,JUC,ORANGE&APPL&BANANA",DUCK'S BLACK SATIN LOUNGE
"BABYFOOD,JUC,ORANGE&APRICOT",DUCKY PLEASURE CLUB
"BABYFOOD,JUC,ORANGE&BANANA",DUCLAW BREWING COMPANY
"BABYFOOD,JUC,ORANGE&PNAPPL",DUDA'S TAVERN
"BABYFOOD,JUC,PRUNE&ORANGE",DUKEM ETHIOPIAN RESTAURANT
"BABYFOOD,JUC,MXD FRUIT",DUNKIN DONUTS
"BABYFOOD,CRL,BARLEY,DRY",Dunkin Donuts
"BABYFOOD,CRL,WHL WHEAT,W/APPLS,DRY",DUNKIN DONUTS
"BABYFOOD,CEREAL,MIXED,DRY",DUNKIN DONUTS
"BABYFOOD,CRL,MXD,W/BANANAS,DRY",DUNKIN DONUTS
"BABYFOOD,CRL,MXD,W/APPLSAUC&BANANAS,STR",DUNKIN DONUTS & BASKIN ROBBINS
"BABYFOOD,CRL,MXD,W/ APPLSAUC & BANANAS,JR",DUNKIN DONUTS/BASKIN ROBBINS
"BABYFOOD,CRL,OATMEAL,DRY",DUTCH POT CAF
"BABYFOOD,CRL,OATMEAL,W/BANANAS,DRY",DYNASTY
"BABYFOOD,CRL,OATMEAL,W/APPLSAUC&BANANAS,STR",E C CAF & CATERING
"BABYFOOD,CRL,OATMEAL,W/APPLSAUC&BANANAS,JR",EAGLE NEST
"BABYFOOD,CRL,OATMEAL,W/HONEY,DRY",EAST BALTIMORE ENTERPRISE
"BABYFOOD,CEREAL,RICE,DRY",EASTERN HOUSE RESTAURANT
"BABYFOOD,CRL,RICE,W/APPLSAUC&BANANAS,STR",EASTSIDE  SPORTS  SOCIAL  CLUB
"BABYFOOD,CRL,W/EGG YOLKS,STR",EAT MUST BE FIRST
"BABYFOOD,CRL,W/EGG YOLKS,JR",ECLECTIC CAF
"BABYFOOD,CRL,W/EGGS,STR",edelweiss bakery & caf‚'
"BABYFOOD,CRL,EGG YOLKS&BACON,JR",EDENS LOUNGE
"BABYFOOD,OATMEAL CRL W/FRUIT,DRY,INST,TODD","EDGAR'S INC.--BALTIMORE, MD"
"BABYFOOD,COOKIE,BABY,FRUIT",EDIE'S DELI & GRILL
"BABYFOOD,CRACKERS,VEG",EDISON   LOUNGE
"BABYFOOD,CRL,RICE,W/MXD FRUIT,JR",EDO SUSHI
"BABYFOOD,CRL,HI PROT,W/APPL&ORANGE,DRY",EICHENKRANZ RESTAURANT
"BABYFOOD,CRL,RICE,W/BANANAS,DRY",EL OSASIS RESTAURANT & DISCOTEC
"BABYFOOD,COOKIES",EL RANCHO BLANCO
"BABYFOOD,COOKIES,ARROWROOT",EL RANCHO GRANDE
"BABYFOOD,PRETZELS","EL RECODO, INC."
"BABYFOOD,TEETHING BISCUITS",EL RINCONCITO PERUANO
ZWIEBACK,EL TORITO MEXICAN RESTAURANT
"BABYFOOD,DSSRT,DUTCH APPL,STR",EL TROPICAL RESTAURANT (3736-38)
"BABYFOOD,DSSRT,DUTCH APPL,JR",ELDORADO INC.
"BABYFOOD,CHERRY COBBLER,JR",ELKS I.B.P.O.E.OF W.
"BABYFOOD,DSSRT,CHERRY VANILLA PUDD,STR",ELLIOT'S POUR HOUSE
"BABYFOOD,DSSRT,CHERRY VANILLA PUDD,JR",EL-MOLINO
"BABYFOOD,DSSRT,FRUIT PUDD,ORANGE,STR",ELVIS RESTAURANT
"BABYFOOD,DSSRT,PEACH COBBLER,STR",ENRICO'S SPORTS CAFE
"BABYFOOD,DSSRT,PEACH COBBLER,JR",ESPN  ZONE
"BABYFOOD,DSSRT,FRUIT PUDD,PNAPPL,STR",europe restaurant & catering
"BABYFOOD,DSSRT,FRUIT DSSRT,WO/VIT C,STR",EVERYDAY'S LLC
"BABYFOOD,DSSRT,FRUIT DSSRT,WO/VIT C,JR",EXCLUSIVE
"BABYFOOD,DSSRT,TROPICAL FRUIT,JR",family diner
"BABYFOOD,DSSRT,CUSTARD PUDD,VANILLA,STR",FAMOUS RESTAURANT
"BABYFOOD,DSSRT,CUSTARD PUDD,VANILLA,JR",FANTASIES
"BABYFOOD,JUC,APPL&GRAPE",FANTASY CAF
"BABYFOOD,JUC,FRUIT PUNCH,W/CA",FEDERAL HILL LOUNGE
"BABYFOOD,JUC,APPL&CHERRY",FELL'S POINT CARRYOUT
"BABYFOOD,JUC,APPL,W/CA",FIELDER'S TAVERN
"BABYFOOD,DINNER,VEG&CHICK,JR",FIELDS OLD TRAIL
"BABYFOOD,DINNER,MXD VEG,STR",FIELDS RIB HOUSE
"BABYFOOD,DINNER,MXD VEG,JR",FILLIN' STATION
"BABYFOOD,FRUIT,BANANAS W/TAPIOCA,JR",FIRESIDE NORTH LIQUORS
"BABYFOOD,VEG,MIX VEG JR",FISHERMANS WHARF INNER HARBOR
"BABYFOOD,VEG,GARDEN VEG,STR",FIVE GUYS @ BREWERS HILL
"BABYFOOD,VEG,MIX VEG STR",FIVE GUYS FAMOUS BURGERS & FRIES
"BABYFOOD,DINNER,BF NOODLE,JR",FIVE GUYS FAMOUS BURGERS & FRIES
"BABYFOOD,APPLS W/HAM,STR",FIVE POINT TAVERN
"BABYFOOD,CARROTS&BF,STR",FIVE SEASONS
"BABYFOOD,PLUMS,BANANAS&RICE,STR",FLAMERS BURGER & CHICKEN
"BABYFOOD,DINNER,TURKEY,RICE,AND VEG,TODD",FLAMINGO  LOUNGE
"BABYFOOD,DINNER,APPLS&CHICK,STR",Fleming's Prime Steakhouse and Wine Bar
"BABYFOOD,DINNER,BROCCOLI & CHICK,JR",FLETCHERS
"BABYFOOD,DINNER,SWT POTATOES&CHICK,STR",FLIP'S AT CLIPPER MILL
"BABYFOOD,DINNER,POTATOES W/CHS&HAM,TODD",FOGO DE CHAO
"BABYFOOD,CRL,BARLEY,PREP W/WHL MILK",FOODTOPIA
"BABYFOOD,CRL,HI PROT,PREP W/WHL MILK",FORT CHARLES PUB
"BABYFOOD,CRL,MXD,PREP W/WHL MILK",FOUL BALL BAR
"BABYFOOD,CRL,MXD,W/BANANAS,PREP W/WHL MILK",FOUR G'S LIQUOR & LOUNGE
"BABYFOOD,CRL,OATMEAL,PREP W/WHL MILK",FOXY LADY
"BABYFOOD,CRL,OATMEAL,W/BANANAS,PREP W/WHL MILK",FRANKLINTOWN INN
"BABYFOOD,CRL,OATMEAL,W/HONEY,PREP W/WHL MILK",FRANK'S PIZZA
"BABYFOOD,CRL,RICE,PREP W/WHL MILK",fraternal order of police baltimore city lodge #3
"BABYFOOD,CRL,RICE,W/HONEY,PREP W/WHL MILK",FRAZIER'S ON THE AVENUE
"BABYFOOD,CRL,MXD,W/HONEY,PREP W/WHL MILK",FRED & MARGIE'S INN
"BABYFOOD,CRL,HI PROT,W/APPL&ORANGE,PREP W/WHL MILK",FREDERICK STATION SALOON
"BABYFOOD,CRL,RICE,W/BANANAS,PREP W/WHL MILK",FRIENDLY  FRIED  CHICKEN
"INF FORMULA,NESTLE,GOOD START SUPREME,W/ IRON,RTF",FRIEND'S RESTAURANT AND SPIRITS
"INF FORMULA,NES,G START SUPR,W/ IRON,LIQ CONC,NOT RECON",FULL MOON SALOON
"INF FORMULA,NESTLE,GOOD START SUPREME,W/ IRON,PDR",FULTON RESTAURANT
"INFANT FORMULA,MEAD JOHNSON,ENFAMIL,W/IRON,RTF",FULTON RESTAURANT    (2201 1/2 FULTON AVENUE)
"INFANT FORMULA,MEAD JOHNSON,ENFAMIL,W/IRON,LIQ CONC, NOT REC",G & A RESTAURANT
"INF FORMULA,MEAD JOHNSON,ENFAMIL,W/ IRON,PDR",GAFFNEY'S BACK FIN ( seasonal)
"INFANT FORMULA,MEAD JOHNSON,ENFAMIL,LO IRON,RTF",GALLAGHERS BAR & GRILL    (938-940)
"INFANT FORMULA,MEAD JOHNSON,ENFAMIL,LO IRON,LIQ CNC, NOT REC",GALLERY
"INF FORMULA,MEAD JOHNSON,ENFAMILLIPIL,W/IRN,PDR,W/ ARA & DHA",GALLERY CAF
"INFANT FORMULA,MEAD JOHNSON,ENFAMIL,LO IRON,PDR,NOT RECON",GARDEN BEEF & BEER
"INF FORMULA,MEAD JOHNSON,LOFENALAC,W/ IRON,PDR,NOT RECON",GARDEN RESTAURANT
"INF FORM,MEAD JOHNS,ENFAM,LIP,W/ IR,LIQ CONC,W/ ARA & DHA",GECKOS
"INF FORMULA,MEAD JOHNSON,ENFAMIL,NUTRAMIGEN,W/ IRON,RTF",GENJI SUSHI EXPRESS   (A.K.A. 600 S EXETER ST)
"INF FORM,MEAD JOHNSON,ENFAMIL,NUTRAMIGEN,W/IRON,PDR,NOTRECN","GEN-JOSEPH HALLER POST #95, AMERICAN LEGION, INC."
"INF FORMMEAD JOHN,ENFAMIL LIPIL,W/ IRON,RTF,W/ ARA & DHA",GENTLEMEN OF CHARISMA
"INF FORM,MEAD JOHNSON,ENFAMIL,NUTRAMIGEN,W/IRON,LC,NOT RECON",GEORGE'S CAFETERIA
"INF FORM,ME JOHNS,ENFAMIL,LIPIL,LO IRON,PDR,W/ ARA & DHA",GEORGIO'S
"INF FORM,ME JOHNS,ENFAM,LIP,LO IRON,LIQ CONC,W/ ARA & DHA",GERMANIO'S RESTAURANT
"CHILD FORMULA,MEAD JOHNSON,PORTAGEN,W/ IRON,PDR,NOT RECON",GIBSON'S
"CHILD FORMULA,MEAD JOHNSON,PORTAGEN,W/ IRON,PREP FROM PDR",GILMOR PLEASURE CLUB
"INFANT FORMULA,MEAD JOHNSON,PREGESTIMIL,W/IRON,PDR,NOT RECON",GINGER'S
"INFANT FORMULA,MEAD JOHNSON,PREGESTIMIL,W/IRON,PREP FROM PDR","GLADIATORS ASSOCIATIONS, INC"
"INF FORMULA,MEAD JOHNSON,PROSOBEE,W/ IRON,RTF",GLASS DOOR lounge
"INFANT FORMULA,MEAD JOHNSON,PROSOBEE,W/IRON,LIQ CNC, NOT REC",GOLDEN KEY RESTAURANT
"INF FOR,ME JOHN,ENFAM,LIPIL,LO IRON,READY TO FE,W/ ARA & DHA",GOLDEN NUGGET
"INF FORMULA,MEAD JOHNSON,ENFAMIL,PROSOBEE,IRON,PDR,NOT RECON",GOLDEN NUGGET LOUNGE
"INF FOR,ME JOHNS,ENFAMIL,LACTOF LIPIL,W/ IR,PDR,W/ ARA & DHA","GOLDEN WEST CAF, INC."
"INF FOR,MEA JO,ENF,LACT,LIPIL,W/ IR,LI CO,NO REC,W/ AR & DH",GOOD TIMES BAR AND LOUNGE
"INF FORMULA,MEAD JOHNSON,ENFAMIL,LIPIL,RTF,W/ ARA & DHA",GORDON'S
"INF FORM,AB NUTR,SIMIL,PM 60/40,PDR,NOT RECON (FORM RO)",GOSSIP BISTRO
"INF FOR,ME JOH,ENF,NUTR LIPIL,W/ IRO,PDR,NOT RE,W/ ARA & DHA",GRAND CRU
"INF FOR,ABB NUT,SIMI NAT CA,ADVA,RTF,W/ ARA & DHA,(FOR ROS)",GRANDVIEW RESTAURANT
"INF FOR,ABB NU,SIM,SP CA,AD 24,W/ IRO,R,W/ ARA & DHA,(FO RO)",GRANITE
"INF FORM,ABB NUTR,SIMI,ISO,W/ IRON,RTF,(FOR RO)",GRANT'S 2 SPOT
"INF FORM,ABBOTT NUTR,SIMI,ISO,W/ IRON,LIQ CONC,(FORM ROSS)",GREAT TASTE CHINESE  RESTAURANT
"INF FORMULA,A NUTR,SIM,IS,W/ IRON,PDR,NOT RECON,(FORROSS)",GREENE ST CAF
"INF FO,ME JO,ENF,NUTR,LIPIL,W/ IR,LIQ CO NOT RE,W/ ARA & DHA",GREENHOUSE CAF
"INF FO,ME JOHN,EN,NUTR LIPIL,W/ IRON,RE TO FE,W/ ARA & DHA",GREENMOUNT LOUNGE
"INF FORM,ABBO NUTR,SIMILAC,ALIMENTUM,W/ IRON,RTF,(FORM RO)",GRENADIER CLUB
"INF FORM,MEAD JOHNSON,ENFAMIL,ENFACARE LIPIL,PDR,ARA&DHA",GRIFFITH'S
"INF FORMULA,ABBOTT NUTR,SIMILAC,W/ IRON,RTF,(FORMERLY ROSS)",GRILL ART
"INF FORM,ABB NUTR,SIMI,W/ IRON,LIQ CONC,NOT RECON,(FORM RO)",GRILLE 601
"INF FO,ME JOHN,EN,PROS LIPIL,W/ IRON,PDR,NOT RE,W/ ARA & DHA",GROWLERS PUB
"INF FORM,ABBONUTR,SIMIL,W/ IRON,PDR,NOT REC,(FORME RO)",GROWN FOLKS BAR
"INF FORM,MEJOH,ENFA,PROSO,LIPIL,LIQ CONC,NOT RE W/ ARA & DHA",GRUMPIE'S
"INF FORMULA,ABBOTT NUTR,SIMILAC,LO IRON,RTF,(FORMERLY ROSS)",GRUNDY'S
"INF FORM,AB NUTR,SIMILAC,LO IRON,LIQ CONC,NOT REC,(FORM RO)","GRUNWALD CLUB, INCORPORATED"
"INF FOR,MEJOHN,PROSOBEE LIPIL,W/ IRON,RE TO FE,W/ ARA & DHA",JAUNG KAK RESTURANT(aka 18 W.20TH ST)
"INF FORM,ABBO NUTR,SIMI,LO IRON,PDR,NOT REC,(FORM R)",JAVA JOE'S
"CHILD FORMULA,ABBOTT NUTR,PEDIASURE,RTF,(FORMERLY ROSS)","JAY & KAY SUBWAY, INC."
"INF FORMU,MEAD JOHNS,NEXT STEP,PROSO LIPIL,PDR,W/ ARA & DHA",JAY'S ON READ
"INF FORM,ME JO,NEXT STEP,PROSO,LIPIL,REATO FEED,W/ ARA & DHA",JAY'S WOLFE ST CAF
"INF FORMULA,MEAD JOHNSON,ENFAMIL,LACTOFREE,RTF",JAZZY BLUES CLUB
"INF FORMULA,MEAD JOHNSON,ENFAMIL,LACTOFREE,W/ IRN,PDR,NOTREC","JD's SMOKEHOUSE BAR & GRILL, INC."
"INF FORMULA,MEAD JOHNSON,ENFAMIL,LACTOFREE,W/ IRN,LQCN,NOREC",JEMELLA 'S CUT RATE
"INF FORMU,PBM PRO,ULTRA BRI BEGINN,RTF (FORME WYETH-AYERST)",JERRY'S BAR
"INF FOR,PBM PR,UL BRI BEGI,LIQ CONC,NOT (FOR WYETH-AYERST)",JEWEL BOX LOUNGE
"INF FORM, PBM PROD, ULTRA BRIG BEGINN, PDR, ( WYETH-AYERST)",JHJ SALOON
"INF FORM,PBM,ULTRABRIGHTBEGIN,SOY,RTF,(FORM WY-AY)",JIGGS TAVERN
"INF FOR,PBM PROD,ULTRA BRIGHT BEGI,S,LIQ CO,(FORME WYE-AYER)",JIM DANDY'S TAVERN
"INF FORM,PBM,ULTRA BRIGHT BEGIN,SOY,PDR (FORM WYETH-AYERST)",JIMMY'S RESTAURANT
"INF FORMULA,NESTLE,GOOD START 2 ESSENTIALS,W/ IRON,RTF",JIM'S DINER
"INF FOR,NE,GOOD START 2 ESSENT,W/ IRON,LIQ CONC,NOT RECON",JOCKEY CLUB/PALACE KITCHEN
"INF FORMULA,NESTLE,GOOD START 2 ESSENTIALS,W/ IRON,PDR",JOE SQUARED PIZZA AND BAR
"INF FORMULA,NESTLE,GOOD START ESSENTIALS SOY,W/ IRON,RTF",JOE'S TAVERN
"INF FORMULA,NES,G START ES,SOY,W/ IRON,LIQ CONC,NOT RECON",JOE'S TAVERN
"INF FORMULA,NESTLE,GOOD START ESSENTIALS SOY,IRON,PDR",JOE'S TAVERN & PACKAGE GOODS
"INF FORMULA,MEAD JOHNSON,NEXT STEP PROSOBEE,PDR,NOT RECON",JOHN'S LOUNGE
"INF FORMULA,MEAD JOHNSON,NEXT STEP PROSOBEE,PREP FROM PDR",JOY DELI
"BABYFOOD,CORN & SWT POTATOES,STR",JP'S
"Infa for, A N, SI, ALI, ADVA ready, withARA and DHA, (fo R)",JR.'S BAR & GRILL
"INF FORM,PBM PRODU,STORE BRAND,RTF (FORM WYETH-AYERST)",JUNIORS
"INF FORM,PBM PROD,STORE BRAND,LC,NOT REC (FORM WYETH-AYERST)",K.F.C.
"INF FORMULA,PBM PRODUCTS,STORE BR,PDR,(FORME WYETH-AYERST)",KABOBBI RESTAURANT
"INF FORMULA,PBM PRO,STORE BRAND,SOY,RTF,(FOR WYETH-AYERST)",KALI'S COURT
"INF FOR,PBM PR,STORE BR,SOY,LIQ CONC,NOT RE (FOR WY-AYERST)",POSITIONS UNLIMITED
"INF FORM,PBM PRODU,STORE BRA,SOY,PDR,(FORMER WYETH-AYERST)",POTBELLY SANDWICH WORK'S
"INF FORMULA,MEAD JOHNSON,ENFAMIL,AR LIPIL,RTF,W/ ARA & DHA",PRIMO'S
"INF FORMULA,MEAD JOHNSON,ENFAMIL,AR LIPIL,PDR,W/ ARA & DHA",PULASKI FOOD SERVICE
"INF FORM,ABB NUTR,SIMI NEOS ADV,RTF,W/ ARA & DHA,(FORM ROSS)",PUR LOUNGE
"INF FORM,ABBOTT NUTR,NEOSURE ADVANCE,PDR,ARA&DHA (FORM ROSS)",PURPLE GOOSE
"INF FOR,ABBOTT NUTR,LA F ADVA,RTF,W/ ARA & DHA,(FORME RO)","q s r,inc  - Mcdonald's"
"INF FOR NUTR,SI LAC ADVA,LIQ CONCENTW/ ARA & DHA,(FORME R)","qsr, inc.- McDonalds"
"INF FORM,ABBNUTR,LACT FREE ADVA,PDR,W/ ARA & DHA,(FOR RO)","QSR, INC. MCDONALD'S)"
"INF FORM,ABB NUTR,SIMI,ADVA,W/ IRON,RTF,(FORM ROSS)",QUIGLEY 1/2 IRISH PUB
"INF FORM,ABB NUTR,SIMI,ADVA,W/ IRON,PDR,N REC(FORMERLY ROSS)",QUINOS
"INF FOR,AB N,SII,ADVANCE,W/ IR,LIQ CO,NOT RECON,(FORME ROS)",QUIZINOS OF FALLS road
"INF FORM,ABB NUTR,SIMI,ISO,ADVANCE W/ IR,LI CONC,(FORM RO)",QUIZNOS
"INF FORMULA,ABB NUTR,SIMI,ISO,ADVA W/ IRON,RTF,(FORM RO)",QUIZNO'S
"INF FORM,AB NUTR,SIMI,ISOMIL,ADV W/ IRON,PDR,NOT RE,(FOR RO)",QUIZNO'S
"INF FORMULA,MEAD JOHNSON,ENFAMIL,ENFACARE LIPIL,RTF, ARA&DHA",QUIZNOS OF FELLS POINT
"FAT,BEEF TALLOW",QUO VADIS DEMOCRATIC CLUB
LARD,RA SUSHI
"SALAD DRSNG,KRAFT MAYO LT MAYO",RADISSON CROSS KEYS HOTEL
"SALAD DRSNG,KRAFT MIRACLE WHIP LT DRSNG",RADISSON HOTEL AT CROSS KEYS
"SALAD DRSNG,KRAFT MAYO FAT FREE MAYO DRSNG",RAFTERS
"SALAD DRSNG,KRAFT MIRACLE WHIP FREE NONFAT DRSNG",RAINBOW HOMESTYLE BUFFET
"SALAD DRSNG,RUSSIAN DRSNG",RAINBOW'S  BAR
"SALAD DRSNG,SESAME SD DRSNG,REG",RALLO'S RESTAURANT
"SALAD DRSNG,1000 ISLAND,COMM,REG",RAMS HEAD TAVERN
"SALAD DRSNG,MAYO TYPE,REG,W/SALT",RANDY'S BAR
"SALAD DRSNG,FRENCH DRSNG,RED FAT",RAS-A-TER INTERNATIONAL
"SALAD DRSNG,ITALIAN DRSNG,RED FAT",RASCALS COMEDY CLUB
"SALAD DRSNG,RUSSIAN DRSNG,LO CAL",RAVE  INN
"SALAD DRSNG,1000 ISLAND DRSNG,RED FAT",RAY LEWIS' FULL MOON B-B-Q
"SALAD DRSNG,MAYO,SOYBN OIL,W/SALT",RAY'S TAVERN
"SALAD DRSNG,MAYO,SOYBN&SAFFLOWER OIL,W/SALT",RAYZER'S
"SALAD DRSNG,MAYO,IMITN,SOYBN",RED DOOR LOUNGE
"SALAD DRSNG,MAYO,IMITN,MILK CRM",RED FISH
"SALAD DRSNG,MAYO,IMITN,SOYBN WO/CHOL",RED FOX LIQUORS
"SANDWICH SPRD,W/CHOPD PICKLE,REG,UNSPEC OILS",RED HOUSE TAVERN INC.
"SHORTENING,HOUSEHOLD,SOYBN (HYDR) -COTTONSEED (HYDR)",RED LYON TAVERN
"OIL,SOYBN,SALAD OR COOKING,(PARTIALLY HYDROGENATED)",RED MAPLE
"OIL,VEG,RICE BRAN",RED ROOSTER
"OIL,WHEAT GERM",RED SQUARE RESTAURANT
"OIL,PNUT,SALAD OR COOKING",REGAN'S TAVERN
"OIL,SOYBN,SALAD OR COOKING",REGI'S BAR & RESTAURANT
"VEGETABLE OIL,COCONUT",GUS RESTAURANT (3103-05)
"OIL,OLIVE,SALAD OR COOKING",GYPSIES
"OIL,VEGETABLE,PALM",H.I.S. PLACE
"OIL,SESAME,SALAD OR COOKING",HABENERO GRILL
"OIL,VEG,SUNFLOWER,LINOLEIC (LESS THAN 60%)","HAMILTON HOMING PIGEON CLUB, INC."
"MARGARINE,REG,HARD,SOYBN (HYDR)",HAMPDEN REPUBLICAN CLUB
"MARGARINE,REG,LIQ,SOYBN (HYDR&REG)&CTTNSD",harbor way inn
"SALAD DRSNG,ITALIAN DRSNG,COMM,REG",HARBORSIDE CHICKEN & SEAFOOD
"SALAD DRSNG,KRAFT RANCH DRSNG",HARD ROCK CAF
"SALAD DRSNG,KRAFT ZESTY ITALIAN DRSNG",HARD ROCK CAF-OUTDOOR PIER
"SALAD DRSNG,KRAFT LT DONE RIGHT! RANCH DRSNG",HARFORD HOUSE
"SALAD DRSNG,KRAFT LT DONE RIGHT! ITALIAN DRSNG","HARFORD ROAD GROUP, LLC"
"SALAD DRSNG,KRAFT FREE FAT FREE RANCH DRSNG",HARFORD ROAD LIQUORS
"SALAD DRSNG,FRENCH DRSNG,COMM,REG",HARRAR CAF
"SALAD DRSNG,KRAFT FREE FAT FREE ITALIAN DRSNG",MIDWAY BAR
"MARGARINE-LIKE SPRD,(APPROXIMATELY 37% FAT),UNSPEC OILS",MIKE MCGOVERN'S
"MARGARINE,REG,UNSPEC OILS,WO/ SALT",MIKE'S PLACE
"MARGARINE,REG,UNSPEC OILS,W/SALT",MILTON AT CHARLES ST
"SALAD DRSNG,FRENCH,HOME RECIPE",MINATO RESTAURANT
"SALAD DRSNG,HOME RECIPE,CKD",MINATO/CAFE VIET RESTAURANT
"SALAD DRSNG,HOME RECIPE,VINEGAR&OIL",MISS SHIRLEY'S CAF
"SALAD DRSNG,FRENCH DRSNG,COMM,REG,WO/ SALT",MOM'S PLACE
"SALAD DRSNG,FRENCH DRSNG,RED FAT,WO/ SALT",MONDO BONDO ITALIAN BISTRO
"SALAD DRSNG,ITALIAN DRSNG,COMM,REG,WO/ SALT",MONUMENT HOUSE
"SALAD DRSNG,ITALIAN DRSNG,RED FAT,WO/ SALT",MORGAN STATE-FACULTY
"SALAD DRSNG,MAYO,SOYBN OIL,WO/SALT",MORTON'S--THE  STEAKHOUSE
"SALAD DRSNG,FRENCH,CTTNSD,OIL,HOME RECIPE",MO'S CRAB & PASTA FACTORY
"SALAD DRSNG,FRENCH DRSNG,FAT-FREE",MOTHER'S  FEDERAL  HILL  GRILL
"OIL,VEG,COCOA BUTTER","MOUNT VERNON CLUB OF BALTIMORE, INC."
"OIL,VEG,CTTNSD,SALAD OR COOKING",MOUNT VERNON STABLE & SALOON
"OIL,VEG,SUNFLOWER,LINOLEIC,(APPROX. 65%)",MOUSE TRAP
"OIL,VEG SAFFLOWER,SALAD OR COOKING,LINOLEIC,(OVER 70%)",MR. C. PLACE
"OIL,VEG SAFFLOWER,SALAD OR COOKING,OLEIC,OVER 70%",MR. JOE'S BAR AND CUT RATE LIQUORS
"VEGETABLE OIL,PALM KERNEL",MT VERNON ENTERTAINMENT LLC
"OIL,VEGETABLE,POPPYSEED",MT. PLEASANT INN
"OIL,VEGETABLE,TOMATOSEED",MT. ROYAL TAVERN
"OIL,VEGETABLE,TEASEED",MT. VERNON  HOTEL AND WASHINGTON CAFE'
"OIL,VEGETABLE,GRAPESEED",MT. WASHINGTON TAVERN
"OIL,VEG,CORN,INDUSTRIAL & RTL,ALLPURP SALAD OR COOKING",MUGGSY'S
"FAT,MUTTON TALLOW",MUGHAL GARDEN
"MARGARINE,REG,HARD,SUNFLOWER&SOYBN (HYDR)&CTTNSD (HYDR)",MUIR'S TAVERN
"OIL,VEGETABLE,WALNUT",MUM'S
"OIL,VEGETABLE,ALMOND",MURPHY'S NEIGHBORHOOD BAR & GRILL
"OIL,VEG,APRICOT KERNEL",MUSTANG ALLEY'S
"VEGETABLE OIL,SOYBN LECITHIN",MUSTANG INN
"OIL,VEGETABLE,HAZELNUT",MVP ENTERTAINMENT LLC CLUB 347-KITCHEN AREA
"OIL,VEGETABLE,BABASSU","MY COUSIN'S PLACE, LLC (3925-27)"
"OIL,VEGETABLE,SHEANUT",MY PANINI
"SALAD DRSNG,BLUE OR ROQUEFORT CHS DRSNG,COMM,REG",MY THAI RESTAURANT
"OIL,VEGETABLE,CUPU ASSU",NAK WON RESTAURANT
"FAT,CHICKEN",NAM KANG KOREAN RESTAURANT   (AKA 101 W. 22ND ST.)
"OIL,SOYBN,SALAD OR COOKING,(HYDR)&CTTNSD",NASU BLANCA
"SHORTENING,HOUSEHOLD,LARD&VEG OIL",NCDEVINS
"OIL,VEG,SUNFLOWER,LINOLEIC,(HYDR)",NELSON BAKED GOODS & COFFEE SHOP
"SHORTENING BREAD,SOYBN (HYDR)&CTTNSD",NEOPOL
"SHORTENING FRYING (REG),SOYBN (HYDR)&CTTNSD (HYDR)",network deli
"SHORTENING CAKE MIX,SOYBN (HYDR)&CTTNSD (HYDR)",NEVER ON SUNDAY
"SHORTENING INDUSTRIAL,LARD&VEG OIL",NEVIN'S  CROSS  STREET STATION
"SHORTENING FRYING (HVY DUTY),BF TALLOW&CTTNSD",NEW CLUB THUNDERBIRD INC.
"SHORTENING CONFECTIONERY,COCNT (HYDR)&OR PALM KERNEL (HYDR)",NEW DUFFY' S RESTAURANT
"SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC 30% W/SILICON",NEW EVERGREEN CAF
"SHORTENING INDUSTRIAL,SOYBN (HYDR)&CTTNSD","NEW HONG  KONG RESTAURANT, INC."
"SHORTENING FRYING (HVY DUTY),PALM (HYDR)",NEW JOHNSON'S LOUNGE
SHORTENING HOUSEHOLD SOYBN (HYDR)&PALM,"NEW MAY FLOWER BUFFET, INC."
"SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%","NEW MAYFIELD, INC."
"SHORTENING,CONFECTIONERY,FRACTIONATED PALM",NEW MOM & DAD LIQUORS
"OIL,VEG,NUTMEG BUTTER",NEW NO  DO  JI  RESTAURANT
"OIL,VEG,UCUHUBA BUTTER",HARRIS' TAVERN
"FAT,DUCK","HARRY OLIVER MANAGEMENT CO., INC."
"FAT,TURKEY",HARRY'S AMERICAN BAR
"FAT,GOOSE",HARVEST TABLE
"VEGETABLE OIL,AVOCADO",HAVE A NICE DAY CAF  (AKA 2 MARKET PLACE)
"OIL,VEG,CANOLA",HAVEN PLACE
"VEGETABLE OIL,MUSTARD",hawley's  (2616-20)
"OIL,VEG,SUNFLOWER,HI OLEIC (70% & OVER)",HEATH STREET PUB
"MARGARINE-BUTTER BLEND,SOYBN OIL & BUTTER","HEIGHTS LIQUORS, INC."
"SHORTENING,SPL PURPOSE FOR CAKES&FROSTINGS,SOYBN (HYDR)",HELEN'S GARDEN  CAFE'
"SHORTENING,SPL PURPOSE FOR BAKING,SOYBN (HYDR) PALM&CTTNSD",HELLAS COFFEE SHOP
"VEGETABLE OIL,OAT",HENNINGER'S TAVERN
"FISH OIL,COD LIVER","HIDING SPOT, INC."
